case_id,court_id,location_region,case_type,filing_date,resolution_date,num_hearings,num_adjournments,judge_id_hashed,outcome_category,time_to_resolution_days
C25-0001,HC-KLA,Central,Civil,2025-01-10,2025-04-15,4,1,a1b2c3d4e5f60718293a4b5c6d7e8f90,Settled,95
C25-0002,HC-MBR,Western,Criminal,2025-02-05,2025-06-20,6,2,0f1e2d3c4b5a69788776655443322110,Convicted,135
C25-0003,MC-GUL,Northern,Land,2025-01-20,2025-05-25,5,2,abc12345def67890abc12345def67890,Resolved,125
C25-0004,HC-MSK,Eastern,Family,2025-03-12,2025-08-10,7,3,9f8e7d6c5b4a3210fedcba0987654321,Resolved,151
C25-0005,MC-KLA,Central,Criminal,2025-04-01,2025-07-22,3,1,55aa66bb77cc88dd99ee00ff11aa22bb,Acquitted,112
C25-0006,HC-GUL,Northern,Civil,2025-05-17,2025-09-25,6,2,22223333444455556666777788889999,Resolved,131
C25-0007,MC-MBR,Western,Land,2025-02-28,2025-06-30,4,1,deadbeef00aa11bb22cc33dd44ee55ff,Settled,122
C25-0008,HC-MSK,Eastern,Criminal,2025-01-30,2025-05-30,5,2,aa11bb22cc33dd44ee55ff6677889900,Convicted,120
C25-0009,HC-KLA,Central,Family,2025-06-10,2025-09-20,4,2,1029384756abcdef1029384756abcdef,Resolved,102
C25-0010,MC-MSK,Eastern,Civil,2025-03-05,2025-07-18,5,1,33445566778899aabbccddeeff001122,Resolved,135
C25-0011,MC-FRT,Western,Criminal,2025-06-15,2025-10-05,4,1,8899aabbccddeeff0011223344556677,Acquitted,112
C25-0012,HC-GUL,Northern,Family,2025-02-14,2025-07-01,6,2,ffeeddccbbaa99887766554433221100,Resolved,138


