case_id,court_id,location_region,case_type,filing_date,resolution_date,num_hearings,num_adjournments,judge_id_hashed,outcome_category,time_to_resolution_days
C25B7-0001,HC-KLA,Central,Criminal,2025-01-17,2025-05-12,6,2,7f3a9b1d4c6e8f0a2b5c7d9e1f2a3b4c,Convicted,115
C25B7-0002,HC-MBR,Western,Family,2025-02-15,2025-07-01,5,2,1a2b3c4d5e6f708192a3b4c5d6e7f801,Resolved,136
C25B7-0003,MC-GUL,Northern,Civil,2025-03-06,2025-07-14,4,1,abc12345def67890abc12345def67890,Settled,130
C25B7-0004,HC-MSK,Eastern,Land,2025-04-17,2025-09-11,6,3,9f8e7d6c5b4a3210fedcba0987654321,Resolved,147
C25B7-0005,MC-KLA,Central,Criminal,2025-05-25,2025-09-03,3,1,0f1e2d3c4b5a69788776655443322110,Acquitted,101
C25B7-0006,HC-GUL,Northern,Family,2025-06-13,2025-10-09,6,2,55aa66bb77cc88dd99ee00ff11aa22bb,Resolved,118
C25B7-0007,MC-MBR,Western,Civil,2025-02-01,2025-05-29,4,1,22223333444455556666777788889999,Resolved,117
C25B7-0008,HC-MSK,Eastern,Land,2025-01-26,2025-05-28,5,2,deadbeef00aa11bb22cc33dd44ee55ff,Settled,122
C25B7-0009,HC-KLA,Central,Family,2025-03-21,2025-07-27,4,2,aa11bb22cc33dd44ee55ff6677889900,Resolved,128
C25B7-0010,MC-MSK,Eastern,Criminal,2025-06-09,2025-09-21,5,1,33445566778899aabbccddeeff001122,Convicted,104


