case_id,court_id,location_region,case_type,filing_date,resolution_date,num_hearings,num_adjournments,judge_id_hashed,outcome_category,time_to_resolution_days
C25B9-0001,HC-KLA,Central,Land,2025-01-04,2025-04-25,4,1,1029384756abcdef1029384756abcdef,Settled,112
C25B9-0002,HC-MBR,Western,Family,2025-02-07,2025-06-29,5,2,aa11bb22cc33dd44ee55ff6677889900,Resolved,142
C25B9-0003,MC-GUL,Northern,Civil,2025-03-11,2025-07-19,4,1,33445566778899aabbccddeeff001122,Resolved,130
C25B9-0004,HC-MSK,Eastern,Criminal,2025-04-16,2025-09-04,6,3,8899aabbccddeeff0011223344556677,Convicted,141
C25B9-0005,MC-KLA,Central,Family,2025-05-21,2025-09-02,4,1,ffeeddccbbaa99887766554433221100,Resolved,104
C25B9-0006,HC-GUL,Northern,Land,2025-06-08,2025-10-12,6,2,1234567890abcdef1234567890abcdef,Resolved,126
C25B9-0007,MC-MBR,Western,Civil,2025-02-19,2025-06-03,4,1,abcdefabcdefabcdefabcdefabcdef12,Resolved,104
C25B9-0008,HC-MSK,Eastern,Family,2025-01-23,2025-05-22,5,2,0a1b2c3d4e5f60718293a4b5c6d7e8f9,Resolved,120
C25B9-0009,HC-KLA,Central,Criminal,2025-03-26,2025-07-31,5,2,4444555566667777888899990000aaaa,Acquitted,127
C25B9-0010,MC-MSK,Eastern,Land,2025-06-03,2025-09-11,5,1,7777888899990000aaaabbbbccccdddd,Settled,100


