case_id,court_id,location_region,case_type,filing_date,resolution_date,num_hearings,num_adjournments,judge_id_hashed,outcome_category,time_to_resolution_days
C25B2-0001,HC-KLA,Central,Criminal,2025-01-08,2025-04-02,5,2,1234567890abcdef1234567890abcdef,Convicted,84
C25B2-0002,HC-MBR,Western,Civil,2025-02-18,2025-06-10,4,1,abcdefabcdefabcdefabcdefabcdef12,Settled,112
C25B2-0003,MC-GUL,Northern,Land,2025-03-01,2025-07-05,6,2,0a1b2c3d4e5f60718293a4b5c6d7e8f9,Resolved,126
C25B2-0004,HC-MSK,Eastern,Family,2025-04-12,2025-09-20,7,3,4444555566667777888899990000aaaa,Resolved,161
C25B2-0005,MC-KLA,Central,Criminal,2025-05-20,2025-09-01,3,1,7777888899990000aaaabbbbccccdddd,Acquitted,104
C25B2-0006,HC-GUL,Northern,Civil,2025-06-11,2025-10-15,5,2,bbbbccccddddeeeeffff000011112222,Resolved,126
C25B2-0007,MC-MBR,Western,Land,2025-02-05,2025-05-25,4,1,ccccddddeeeeffff0000111122223333,Settled,110
C25B2-0008,HC-MSK,Eastern,Criminal,2025-01-27,2025-05-20,6,2,55aa66bb77cc88dd99ee00ff11aa22bb,Convicted,113
C25B2-0009,HC-KLA,Central,Family,2025-03-18,2025-07-31,5,2,1a2b3c4d5e6f708192a3b4c5d6e7f801,Resolved,135
C25B2-0010,MC-MSK,Eastern,Civil,2025-06-02,2025-09-10,4,1,aa11bb22cc33dd44ee55ff6677889900,Resolved,100


