case_id,court_id,location_region,case_type,filing_date,resolution_date,num_hearings,num_adjournments,judge_id_hashed,outcome_category,time_to_resolution_days
C25B3-0001,HC-KLA,Central,Civil,2025-01-03,2025-03-30,3,1,7f3a9b1d4c6e8f0a2b5c7d9e1f2a3b4c,Resolved,87
C25B3-0002,HC-MBR,Western,Criminal,2025-02-12,2025-06-28,6,2,1a2b3c4d5e6f708192a3b4c5d6e7f801,Convicted,136
C25B3-0003,MC-GUL,Northern,Land,2025-03-22,2025-07-15,5,2,abc12345def67890abc12345def67890,Settled,115
C25B3-0004,HC-MSK,Eastern,Family,2025-04-18,2025-09-05,7,3,9f8e7d6c5b4a3210fedcba0987654321,Resolved,140
C25B3-0005,MC-KLA,Central,Criminal,2025-05-14,2025-08-20,4,1,0f1e2d3c4b5a69788776655443322110,Acquitted,98
C25B3-0006,HC-GUL,Northern,Civil,2025-06-06,2025-10-11,6,2,55aa66bb77cc88dd99ee00ff11aa22bb,Resolved,127
C25B3-0007,MC-MBR,Western,Land,2025-01-28,2025-05-05,4,1,22223333444455556666777788889999,Settled,97
C25B3-0008,HC-MSK,Eastern,Criminal,2025-02-25,2025-06-18,5,2,deadbeef00aa11bb22cc33dd44ee55ff,Convicted,113
C25B3-0009,HC-KLA,Central,Family,2025-03-08,2025-07-12,4,2,aa11bb22cc33dd44ee55ff6677889900,Resolved,126
C25B3-0010,MC-MSK,Eastern,Civil,2025-06-20,2025-09-29,5,1,33445566778899aabbccddeeff001122,Resolved,101


