case_id,court_id,location_region,case_type,filing_date,resolution_date,num_hearings,num_adjournments,judge_id_hashed,outcome_category,time_to_resolution_days
C25B6-0001,HC-KLA,Central,Family,2025-01-12,2025-05-05,5,2,aa11bb22cc33dd44ee55ff6677889900,Resolved,113
C25B6-0002,HC-MBR,Western,Civil,2025-02-03,2025-06-12,4,1,1029384756abcdef1029384756abcdef,Settled,129
C25B6-0003,MC-GUL,Northern,Criminal,2025-03-10,2025-07-29,6,2,33445566778899aabbccddeeff001122,Convicted,141
C25B6-0004,HC-MSK,Eastern,Land,2025-04-25,2025-09-02,5,2,8899aabbccddeeff0011223344556677,Resolved,130
C25B6-0005,MC-KLA,Central,Civil,2025-05-08,2025-08-21,4,1,ffeeddccbbaa99887766554433221100,Resolved,105
C25B6-0006,HC-GUL,Northern,Family,2025-06-19,2025-10-25,6,2,1234567890abcdef1234567890abcdef,Resolved,128
C25B6-0007,MC-MBR,Western,Criminal,2025-02-20,2025-06-06,4,1,abcdefabcdefabcdefabcdefabcdef12,Acquitted,106
C25B6-0008,HC-MSK,Eastern,Civil,2025-01-29,2025-05-26,5,2,0a1b2c3d4e5f60718293a4b5c6d7e8f9,Resolved,117
C25B6-0009,HC-KLA,Central,Land,2025-03-17,2025-07-23,4,2,4444555566667777888899990000aaaa,Settled,128
C25B6-0010,MC-MSK,Eastern,Family,2025-06-01,2025-09-12,5,1,7777888899990000aaaabbbbccccdddd,Resolved,103


