case_id,court_id,location_region,case_type,filing_date,resolution_date,num_hearings,num_adjournments,judge_id_hashed,outcome_category,time_to_resolution_days
C25B10-0001,HC-KLA,Central,Family,2025-01-09,2025-04-28,4,1,bbbbccccddddeeeeffff000011112222,Resolved,110
C25B10-0002,HC-MBR,Western,Land,2025-02-16,2025-07-06,5,2,ccccddddeeeeffff0000111122223333,Settled,140
C25B10-0003,MC-GUL,Northern,Criminal,2025-03-02,2025-07-20,6,2,7f3a9b1d4c6e8f0a2b5c7d9e1f2a3b4c,Convicted,140
C25B10-0004,HC-MSK,Eastern,Civil,2025-04-13,2025-08-24,5,2,1a2b3c4d5e6f708192a3b4c5d6e7f801,Resolved,133
C25B10-0005,MC-KLA,Central,Family,2025-05-19,2025-08-27,4,1,abc12345def67890abc12345def67890,Resolved,100
C25B10-0006,HC-GUL,Northern,Land,2025-06-22,2025-10-21,6,2,9f8e7d6c5b4a3210fedcba0987654321,Resolved,121
C25B10-0007,MC-MBR,Western,Criminal,2025-02-24,2025-06-07,4,1,0f1e2d3c4b5a69788776655443322110,Acquitted,103
C25B10-0008,HC-MSK,Eastern,Civil,2025-01-21,2025-05-18,5,2,55aa66bb77cc88dd99ee00ff11aa22bb,Resolved,117
C25B10-0009,HC-KLA,Central,Land,2025-03-13,2025-07-19,4,2,22223333444455556666777788889999,Settled,128
C25B10-0010,MC-MSK,Eastern,Family,2025-06-04,2025-09-16,5,1,deadbeef00aa11bb22cc33dd44ee55ff,Resolved,104


